,LotDescription,Parent#,Revenue,ParentID,LotID
134,SES2RB LN XXL - Royal Blue Flame Resistant Tops,B00HUA67BE,5628.18,354,669.0
135,KP13P - White Medical,B00SBHM5YS,5610.07,633,364.0
136,4016 - White Outerwear,B00O972684,5501.92,518,147.0
137,PC20 - Navy Pants,B00O4UYNHI,5500.559999999999,393,411.0
138,KP13P - Navy Medical,B00SBHM5YS,5432.5599999999995,633,363.0
139,SP24 - Light Grey Woven Shirts,B00O9734IK,5365.09,572,913.0
140,1T11 - White Industrial,B00SBHLMNI,5363.09,623,128.0
141,SLU2SY RG S - Silver Grey Flame Resistant Tops,B00HUA6TBM,5358.29,357,788.0
142,SMH2NV LN 3XL - Navy Flame Resistant Tops,B00JIJHYSA,5340.789999999999,383,800.0
143,KT76 - Black Uniforms Jackets,B00O7PCD54,5329.44,463,392.0
144,CNB6NV LN 58 - Navy Flame Resistant Bottoms,B00HUA2YKC,5325.81,321,260.0
145,KP14 - White Outerwear,B00O9729CC,5298.280000000001,523,368.0
146,SP20GI - Charcoal With Blue/White Stripe Woven Shirts,B00O9736UG,5256.24,573,890.0
147,CC14 - Postman Blue Coveralls,B00O971BKI,5247.16,478,216.0
148,PT20 - Brown Pants,B00O4UYXSC,5110.96,407,483.0
149,SP14 - Spruce Green Woven Shirts,B00O972ZAI,5053.119999999999,561,870.0
150,SP24 - Postman Blue Woven Shirts,B00O9734IK,5014.619999999999,572,925.0
151,CNC2TN LN 56 - Tan Flame Resistant Bottoms,B00JIL6UNS,4995.73,390,264.0
152,PT10 - White Pants,B00O4UYXA0,4980.33,404,481.0
153,SP14 - Light Tan Woven Shirts,B00O972ZAI,4976.2300000000005,561,855.0
154,CED2KH RG 58 - Khaki Flame Resistant Bottoms,B00JIL6QTG,4951.77,387,233.0
155,JT38 - Navy Outerwear,B00O971RDY,4928.47,499,337.0
156,PT2C - Black Pants,B00O4UZ19W,4910.179999999999,408,507.0
157,PEJ8DW 50 34 - Blue Denim Flame Resistant Bottoms,B01FGWB3AW,4857.86,726,447.0
158,CLB2NV RG 56 - Navy Flame Resistant Bottoms,B00JIL6S58,4845.95,388,241.0
159,KT30 - Postman Blue Outerwear,B00O971TWI,4808.1,503,387.0
160,KP13P - Light Blue Medical,B00SBHM5YS,4788.469999999999,633,362.0
161,SP24 - Burgundy Woven Shirts,B00O9734IK,4771.15,572,898.0
162,SP14 - Grey Woven Shirts,B00O972ZAI,4746.78,561,846.0
163,PD80 - Dark Wash Jeans,B00O4UYUAS,4724.18,400,440.0
164,PT2C - Charcoal Pants,B00O4UZ19W,4719.86,408,508.0
165,PT4A - Black Shorts,B00O4UZ4TE,4716.72,413,529.0
166,CEC2RB LN 50 - Royal Blue Flame Resistant Bottoms,B00JIL6OLG,4709.75,386,232.0
167,PT2C - Navy Pants,B00O4UZ19W,4642.9800000000005,408,510.0
168,CNB2RB RG 44 - Royal Blue Flame Resistant Bottoms,B00JIL6TEI,4626.42,389,257.0
169,SP80 - Royal Blue Woven Shirts,B00O973E2G,4615.64,586,977.0
170,SK52 - Black/Charcoal Knit Tops,B00O9OQIA4,4613.76,616,714.0
171,WS20 - Light Blue Woven Shirts,B00O4VY36I,4610.349999999999,426,1141.0
172,CED2OR LN 56 - Orange Flame Resistant Bottoms,B00JIL6QTG,4576.0,387,235.0
173,SP14 - Light Grey With Trim Woven Shirts,B00O9731VA,4575.849999999999,568,853.0
174,CD32 - Brown Duck Coveralls,B00O971BTO,4574.719999999999,480,224.0
175,QT20 - Charcoal Flame Resistant Tops,B01C4C3274,4565.65,700,598.0
176,JT50 - Navy Outerwear,B00O971RHU,4532.070000000001,500,343.0
177,SET8GY SS L - Grey Flame Resistant Tops,B00HUA6AHA,4515.52,355,672.0
178,KT50 - White Outerwear,B00O972KB2,4492.96,539,390.0
179,CED2RB RG 64 - Royal Blue Flame Resistant Bottoms,B00JIL6QTG,4485.26,387,236.0
180,SNS2TN RG S - Tan Flame Resistant Tops,B00HUA7KRO,4449.42,363,817.0
181,4004 - White Outerwear,B00O97236E,4447.65,513,144.0
182,SP24 - Royal Blue Woven Shirts,B00O9734IK,4392.5199999999995,572,927.0
183,2030 - Black/White Check Uniforms Bottoms,B00O7PBMC4,4379.63,430,142.0
184,SP80 - Burgundy Woven Shirts,B00O973E2G,4362.7,586,972.0
185,PT88 - Khaki Pants,B00O4UZCU0,4290.65,418,567.0
186,SK92 - Black Knit Tops,B019XDXNT4,4289.93,684,765.0
187,SEL2OR RG 4XL - Orange Flame Resistant Tops,B00HRFUX80,4279.78,308,667.0
188,SP24 - Navy With Orange Visibility Trim Woven Shirts,B00O97394O,4264.6900000000005,578,916.0
189,SP20 - White/charcoal Stripe Woven Shirts,B00O9736UG,4227.17,573,888.0
190,SEU2WB LN XXL - White/Blue Stripe Flame Resistant Tops,B00JIJHX7C,4200.58,381,674.0
191,JP70 - Black Outerwear,B00O971MJI,4184.53,495,327.0
192,CMD6NV LN 52 - Navy Flame Resistant Bottoms,B00HUA2S4E,4156.57,320,255.0
193,PC20 - Dark Navy Pants,B00O4UYNHI,4152.75,393,408.0
194,JNJ8NV RG 3XL - Navy Flame Resistant Outerwear,B00HUA3ZEG,4119.04,333,322.0
195,SET2GY RG 4XL - Grey Flame Resistant Tops,B00HRFV19U,4108.22,309,671.0
196,JT50 - Black Outerwear,B00O971RHU,4096.35,500,340.0
197,CD32 - Navy Duck Coveralls,B00O971BTO,4092.53,480,225.0
198,SP24 - Khaki Woven Shirts,B00O9734IK,4086.75,572,908.0
199,5010 - White Uniforms Tops,B00O7PC2LO,4083.26,453,164.0
200,SP24 - Spruce Green Woven Shirts,B00O9734IK,4078.1600000000003,572,929.0
201,SP14 - Light Grey Woven Shirts,B00O972ZAI,4037.0699999999997,561,854.0
202,CT10 - Navy With Yellow/Green Visibility Trim Coveralls,B00O971E2S,4032.12,486,275.0
203,SP56BT - Khaki Uniforms Tops,B01AFSIDEG,4016.06,687,955.0
204,WS20 - Khaki Woven Shirts,B00O4VY36I,4010.37,426,1140.0
205,CNB2TN RG 46 - Tan Flame Resistant Bottoms,B00JIL6TEI,3984.5199999999995,389,258.0
206,SP24 - Red Woven Shirts,B00O9734IK,3981.5800000000004,572,926.0
207,SET8NV SS 4XL - Navy Flame Resistant Tops,B00HUA6AHA,3975.06,355,673.0
208,SP80 - Navy Woven Shirts,B00O973E2G,3968.41,586,975.0
209,5080 - White Outerwear,B00O972698,3952.83,519,173.0
210,JLR8NV LN XXL - Navy Flame Resistant Outerwear,B00HUA3XXO,3951.5,332,320.0
211,SP14 - Navy With Orange Visibility Trim Woven Shirts,B00O9731VA,3922.7200000000003,568,857.0
212,WP90 - Khaki Shorts,B00O4VXX46,3869.1099999999997,422,1122.0
213,SND2TN LN L - Tan Flame Resistant Tops,B00HUA7HHC,3859.14,362,815.0
214,CEC2OR RG 52 - Orange Flame Resistant Bottoms,B00JIL6OLG,3843.3500000000004,386,231.0
215,PEJ4DW 48 34 - Blue Denim Flame Resistant Bottoms,B01ANEQOWK,3789.0299999999997,694,445.0
216,SP80 - Red Woven Shirts,B00O973E2G,3746.62,586,976.0
217,SP24 - Navy/red Stripe Woven Shirts,B00O97342G,3740.71,571,921.0
218,ST62 - Silver Uniforms Tops,B00O973MDC,3735.6899999999996,597,1045.0
219,SY20 - Navy/Grey Woven Shirts,B00O973OM6,3692.1899999999996,600,1055.0
220,SP24 - Dark Blue Woven Shirts,B00O9734IK,3687.2299999999996,572,903.0
221,SP24 - Light Grey With Trim Woven Shirts,B00O97394O,3685.8599999999997,578,912.0
222,SP24 - Light Green Woven Shirts,B00O9734IK,3581.19,572,911.0
223,CEH2NV LN XXL - Navy Flame Resistant Bottoms,B00HUA1V7O,3574.16,316,237.0
224,SND2NV RG XXL - Navy Flame Resistant Tops,B00HUA7HHC,3533.54,362,813.0
225,JT50 - Navy With Yellow/Green Visibility Trim Outerwear,B00O971TOQ,3521.62,501,344.0
226,CC16 - Fisher Herringbone Coveralls,B00O971BKS,3494.7100000000005,479,217.0
227,SC30 - Dark Navy Woven Shirts,B00O972MCO,3493.95,541,630.0
228,WS20 - Black Woven Shirts,B00O4VY36I,3474.56,426,1137.0
229,PC76 - Khaki Pants,B00O4UYND2,3437.38,392,425.0
